cities,Toronto,Montreal,Vancouver,Calgary,Edmonton,Ottawa,Mississauga,Winnipeg,Quebec City,Hamilton,Brampton,Surrey,Kitchener,Laval,Halifax,London,Victoria,Markham,St. Catharines,Niagara Falls,lat,lng
Toronto,,,4340,,,403,29,2031,,,46,,,,,,,30,,,43.7417,-79.3733
Montreal,,,-1,,,198,,,269,,,,,30.8,,,,,,,45.5089,-73.5617
Vancouver,4340,,-1,971,1160,,,,,,,37.7,,,,,114,,,,49.25,-123.1
Calgary,,,971,,300,,,1335,,,,,,,,,,,,,51.05,-114.0667
Edmonton,,,1160,300,,,,1305,,,,,,,,,,,,,53.5344,-113.4903
Ottawa,403,198,-1,,,,,2140,,,,,,,,,,,,,45.4247,-75.695
Mississauga,29,,-1,,,,,,,48,,,,,,,,22,,,43.6,-79.65
Winnipeg,2031,,-1,1335,1305,2140,,,,,,,,,,,,,,,49.8844,-97.1464
Quebec City,,269,-1,,,,,,,,,,,,1019,,,,,,46.8139,-71.2081
Hamilton,,,-1,,,,48,,,,,,65,,,128,,,39,,43.2567,-79.8692
Brampton,46,,-1,,,,,,,,,,,,,,,52,,,43.6833,-79.7667
Surrey,,,37.7,,,,,,,,,,,,,,,,,,49.19,-122.8489
Kitchener,,,-1,,,,,,,65,,,,,,110,,,,,43.4186,-80.4728
Laval,,30.8,-1,,,,,,,,,,,,,,,,,,45.5833,-73.75
Halifax,,,-1,,,,,,1019,,,,,,,,,,,,44.6475,-63.5906
London,,,-1,,,,,,,128,,,110,,,,,,,,42.9836,-81.2497
Victoria,,,114,,,,,,,,,,,,,,,,,,48.4283,-123.3647
Markham,30,,-1,,,,22,,,,52,,,,,,,,,,43.8767,-79.2633
St. Catharines,,,-1,,,,,,,39,,,,,,,,,,20,43.1833,-79.2333
Niagara Falls,,,-1,,,,,,,,,,,,,,,,20,,43.06,-79.1067
,43.7417,45.5089,49.25,51.05,53.5344,45.4247,43.6,49.8844,46.8139,43.2567,43.6833,49.19,43.4186,45.5833,44.6475,42.9836,48.4283,43.8767,43.1833,43.06,,
,-79.3733,-73.5617,-123.1,-114.0667,-113.4903,-75.695,-79.65,-97.1464,-71.2081,-79.8692,-79.7667,-122.8489,-80.4728,-73.75,-63.5906,-81.2497,-123.3647,-79.2633,-79.2333,-79.1067,,
